area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
01001	860	10739	390543141	
01003	5822	70107	2405999881	
01005	551	7937	280568726	
01007	341	4144	162759631	
01009	756	8147	275101272	
01011	144	2963	97928586	
01013	487	6903	230266148	
01015	2508	43763	1648250538	
01017	600	8057	287998103	
01019	407	5074	168109058	
01021	758	9408	324905937	
01023	283	3333	156752507	
01025	662	8150	308458033	
01027	213	3925	128504999	
01029	214	2262	94315046	
01031	1074	15300	507599957	
01033	1289	23907	1009219193	
01035	252	3428	118313507	
01037	123	1344	48265212	
01039	896	12155	417630642	
01041	258	3807	134492247	
01043	1807	28794	1063303434	
01045	870	16795	883749071	
01047	852	12706	455642695	
01049	1149	20743	721086889	
01051	1346	19601	665139957	
01053	838	12821	483458070	
01055	2057	36213	1279580557	
01057	340	4050	129163013	
01059	559	10333	348722704	
01061	487	5010	156595544	
01063	158	1746	58327464	
01065	266	2732	96213221	
01067	332	3242	132157905	
01069	2927	46885	1884507016	
01071	965	16278	560819889	
01073	18203	340512	17904952121	
01075	277	3427	126386765	
01077	2078	29434	993441759	
01079	432	4694	154587126	
01081	3078	56746	2100078708	
01083	1404	22570	1052571483	
01085	162	2413	107051190	
01087	233	4765	198038903	
01089	9406	191678	10798130877	
01091	515	7024	275624268	
01093	618	9777	324635890	
01095	2049	35831	1228365231	
01097	9943	169094	7665234084	
01099	440	6115	249773291	
01101	6371	131172	5874784095	
01103	2772	46691	2018244769	
01105	153	2074	63166848	
01107	335	3792	140143591	
01109	696	13905	555247236	
01111	369	4630	150459603	
01113	893	13724	494443040	
01115	1452	19313	697284271	
01117	5667	84014	4240659417	
01119	236	3037	113939666	
01121	1322	29093	1316928536	
01123	816	13515	444023188	
01125	4468	91561	3937610240	
01127	1355	17995	641725799	
01129	257	3572	208993147	
01131	226	2745	113674130	
01133	475	7434	250462394	
01999	12169	50160	3311528191	
