area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
06001	60608	751599	53035088461	
06003	90	770	27452466	
06005	1084	11648	492835580	
06007	8152	80802	3193940757	
06009	1302	9139	348862422	
06011	817	9028	367287660	
06013	31198	359242	23418019657	
06015	798	8151	303637605	
06017	5194	53889	2530472919	
06019	33353	374939	15657982463	
06021	1182	8946	341185889	
06023	4950	48260	1849665065	
06025	7102	62910	2348677973	
06027	738	7606	316943375	
06029	17852	314213	13873483642	
06031	3717	45883	1874506528	
06033	3004	16102	580700296	
06035	714	10239	457799881	
06037	465340	4344132	260304977202	
06039	4063	48327	1970035796	
06041	12286	114063	7666308735	
06043	479	5350	204021085	
06045	4131	31915	1196738222	
06047	6318	76874	3128443102	
06049	353	2609	96123911	
06051	611	7071	257751061	
06053	13341	188586	8566593991	
06055	5719	75503	3939217063	
06057	3541	30590	1323759896	
06059	113933	1559959	93282751963	
06061	12302	156271	8362480186	
06063	848	6098	242549545	
06065	59080	689386	29645343650	
06067	55082	638422	36651935491	
06069	1575	17042	756688134	
06071	55306	706208	31519919827	
06073	105786	1405808	81815784606	
06075	59263	703188	71483276435	
06077	17254	239314	10627387803	
06079	10130	114421	5068224698	
06081	27224	391640	42089137132	
06083	15062	194999	9893060460	
06085	69708	1046049	123484418547	
06087	9403	103503	4916074608	
06089	6724	64717	2633797514	
06091	120	517	19547848	
06093	1681	13672	523675721	
06095	10868	135792	7427140921	
06097	19449	201875	10153630234	
06099	14777	183977	8219077793	
06101	3089	29998	1191807524	
06103	1789	17687	713230504	
06105	400	2695	99249341	
06107	9886	160995	6128879866	
06109	1575	17492	712778763	
06111	25888	319053	17105670397	
06113	6488	100297	5609652959	
06115	1602	16685	798985373	
06999	56785	382504	31828141636	
