area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
72001	222	1883	35515590	
72003	469	4134	75547061	
72005	857	17904	535568613	
72007	147	1771	35453191	
72009	328	5546	141105436	
72011	268	5171	142409387	
72013	1045	20584	525440543	
72015	95	2549	69575426	
72017	271	9631	283831261	
72019	322	3008	65779217	
72021	2931	55329	1349906478	
72023	537	6041	105330834	
72025	2282	45994	1133956399	
72027	302	3476	67083461	
72029	342	5576	132747942	
72031	1989	46084	1187226139	
72033	306	10300	312395635	
72035	494	9806	272716508	
72037	88	1093	22589139	
72039	132	1584	30032423	
72041	348	5886	159682060	
72043	305	3766	75408244	
72045	135	2106	40043952	
72047	324	3923	77583432	
72049	51	462	8250015	
72051	500	8326	218252679	
72053	522	11393	292183039	
72054	69	1125	22513514	
72055	126	2466	45766188	
72057	465	10851	286869612	
72059	119	2238	50409780	
72061	2373	46817	1558511030	
72063	337	6431	185263099	
72065	539	8232	158498187	
72067	182	2415	44046665	
72069	790	16515	457347833	
72071	441	6558	153963633	
72073	169	2844	75559983	
72075	309	6461	157571930	
72077	249	6598	344335944	
72079	215	2915	50775618	
72081	298	3576	62292723	
72083	108	1285	20847488	
72085	283	6861	212741421	
72087	90	1562	29950083	
72089	133	1973	41533127	
72091	621	13737	391607534	
72093	67	1293	27984417	
72095	69	1292	37047149	
72097	1532	30892	734942701	
72099	371	4095	74612752	
72101	178	2298	45452562	
72103	155	2055	44227986	
72105	298	2922	60613904	
72107	205	3017	54778365	
72109	121	1597	33463370	
72111	168	2696	58810108	
72113	2181	48056	1130160624	
72115	214	2195	42044681	
72117	164	1787	33435370	
72119	318	5964	136965004	
72121	186	3134	58053627	
72123	201	3472	87392165	
72125	398	8819	200853864	
72127	10757	246923	8156511219	
72129	277	4729	133368916	
72131	542	5250	92774339	
72133	200	6887	128351001	
72135	344	3468	76066805	
72137	714	12587	300947998	
72139	541	10192	181395684	
72141	281	3858	84342293	
72143	293	4470	96562732	
72145	470	7940	211469263	
72147	125	1861	40420548	
72149	143	3405	88585226	
72151	227	2914	59090428	
72153	438	6039	120255663	
72999	273	1938	99610015	
