area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
02013	104	2473	127157843	
02016	167	3689	210414054	
02020	8278	151070	8445356356	
02050	366	6897	283842964	
02060	116	1178	61572753	
02068	130	2134	94594658	
02070	154	2545	109339206	
02090	2264	36571	1885721609	
02100	158	955	34344737	
02105	137	775	27827770	
02110	1119	17468	891412924	
02122	1980	19702	932071624	
02130	600	7308	332985853	
02150	484	6206	265312160	
02158	142	2310	62715697	
02164	130	828	31485282	
02170	2094	22959	963369366	
02180	316	3751	180127512	
02185	245	13868	1350616831	
02188	175	2804	183424670	
02195	165	1264	53146509	
02198	240	2071	82795188	
02220	381	4149	181420420	
02230	130	891	34604943	
02240	260	2505	162201252	
02261	561	4766	255923397	
02275	95	861	32391683	
02282	47	263	10484087	
02290	288	2077	82712525	
02999	725	1960	121803869	
