area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
42001	2156	34550	1350462053	
42003	35423	688600	39498008268	
42005	1526	16382	630022299	
42007	3660	51139	2140808332	
42009	1198	15330	535289320	
42011	8921	170657	8135546870	
42013	3362	58532	2274983216	
42015	1651	23270	997058916	
42017	19759	259721	13008047082	
42019	5000	84971	4162030328	
42021	3553	52446	1936747482	
42023	146	1942	73585658	
42025	1248	17038	589451671	
42027	3572	68696	3268731121	
42029	15353	248027	16581216819	
42031	1086	13391	460260866	
42033	2154	29473	1095484315	
42035	902	12864	523322752	
42037	1544	24896	962323854	
42039	2222	30768	1151101288	
42041	6393	132087	6267950728	
42043	7478	179997	9354798195	
42045	13911	219145	12432723446	
42047	946	14905	612262506	
42049	6997	122533	5006869727	
42051	2840	39259	1453664126	
42053	169	2021	89565535	
42055	3275	57941	2369298937	
42057	315	4848	211060119	
42059	850	13047	676682923	
42061	946	12349	457871727	
42063	2010	29862	1279721450	
42065	1229	15246	567258804	
42067	526	6374	218657403	
42069	5744	97353	3921881050	
42071	13264	234156	10305707198	
42073	2009	28146	1086768699	
42075	2803	49173	1968083925	
42077	8668	186616	9795292396	
42079	7447	143619	5934908723	
42081	3172	51113	2095594898	
42083	1183	15223	602862180	
42085	2930	47061	1853399670	
42087	1037	15507	581708065	
42089	3588	55345	2272925453	
42091	27362	484289	32055851693	
42093	462	15378	1016945864	
42095	6716	111869	5099080295	
42097	1898	27719	1075100533	
42099	887	7827	251446209	
42101	34577	663398	41543146636	
42103	1028	11227	368765883	
42105	457	5272	205547193	
42107	3129	49794	1948605404	
42109	965	16179	565904262	
42111	1891	23772	870334364	
42113	197	1640	55024207	
42115	1051	9081	329815800	
42117	1104	12675	488409832	
42119	990	17385	738934659	
42121	1265	18167	676427915	
42123	1119	14672	571487907	
42125	5477	85474	4538464863	
42127	1449	14745	557967792	
42129	9231	132976	5592879637	
42131	740	9708	441727719	
42133	9037	176421	8076080301	
42999	27395	152472	13141381918	
