area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
31001	1203	15513	568609053	
31003	302	2140	70828150	
31005	17	84	2391184	
31007	16	129	4459413	
31009	23	125	4084794	
31011	267	2371	81792494	
31013	431	3860	132919795	
31015	110	600	16897193	
31017	166	1200	39706257	
31019	1916	27079	1021700164	
31021	282	1881	63446475	
31023	281	2556	97326468	
31025	687	5647	203244151	
31027	361	2658	89602919	
31029	232	1824	63208132	
31031	341	2389	69391939	
31033	419	5485	277776073	
31035	291	2420	97519731	
31037	338	5153	214105473	
31039	458	3723	138980904	
31041	526	4501	160510729	
31043	571	12469	515750270	
31045	374	3309	104217005	
31047	906	11436	409213761	
31049	85	592	17873139	
31051	154	1714	58300993	
31053	1214	17096	623803644	
31055	18933	336971	16754862817	
31057	99	565	20135909	
31059	300	2176	81887758	
31061	130	753	23866832	
31063	91	807	26508918	
31065	247	2060	70542218	
31067	842	9226	320258573	
31069	89	559	17441040	
31071	122	811	22545665	
31073	67	395	13307254	
31075	49	281	7820436	
31077	118	616	18814893	
31079	2186	34742	1315336331	
31081	385	3537	150128700	
31083	150	840	25896874	
31085	40	201	6335037	
31087	98	688	26273251	
31089	574	4594	156509751	
31091	37	302	7528887	
31093	210	1608	52125416	
31095	315	3343	112654420	
31097	153	1597	58391342	
31099	236	2185	76999726	
31101	444	3380	111390346	
31103	34	151	3939101	
31105	159	1352	48216847	
31107	362	2966	91797123	
31109	10147	168495	7197226692	
31111	1334	14926	560333846	
31113	40	187	5619606	
31115	20	120	2702819	
31117	13	78	2370739	
31119	1532	21672	823164913	
31121	292	2263	82328017	
31123	200	1527	54881874	
31125	158	1053	34732632	
31127	236	3095	155170068	
31129	204	1438	43268330	
31131	582	6283	226841370	
31133	106	895	27213386	
31135	172	1136	45194725	
31137	463	4734	188134709	
31139	252	2012	68580996	
31141	1209	18430	745910163	
31143	188	1460	49360101	
31145	523	5179	177332022	
31147	330	2504	77218587	
31149	65	471	15654599	
31151	401	7135	285486457	
31153	3881	69149	3013110550	
31155	605	5336	184246096	
31157	1544	17199	647874367	
31159	546	6243	239636423	
31161	279	1757	50251018	
31163	117	817	23743949	
31165	30	157	4994827	
31167	114	1285	71552862	
31169	256	2411	85077830	
31171	37	274	7779390	
31173	196	2933	120381166	
31175	250	1800	59402333	
31177	656	8070	410587337	
31179	285	4122	143422625	
31181	146	1070	31390319	
31183	41	317	10669943	
31185	648	7762	283596900	
31999	5549	18153	1202727429	
