area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
35001	18260	324566	14670919622	
35003	97	639	18619162	
35005	1826	21671	731347704	
35006	461	7922	282176468	
35007	542	4797	145820813	
35009	1193	17047	600202417	
35011	83	452	15828112	
35013	4604	71699	2606818006	
35015	1698	26488	1414025167	
35017	752	9117	355159663	
35019	164	1577	46388012	
35021	36	157	5244638	
35023	167	1604	59136440	
35025	1967	27609	1289488338	
35027	807	6386	192388317	
35028	434	15774	1272322283	
35029	531	7909	261154261	
35031	1272	20652	682185742	
35033	132	707	21428775	
35035	1162	17805	624182758	
35037	317	2518	77064621	
35039	771	9804	319207146	
35041	432	5882	199112242	
35043	2249	29228	1214955740	
35045	2963	47819	2073188286	
35047	745	8203	247224362	
35049	5587	60988	2628131237	
35051	335	3399	99000090	
35053	357	5344	191152292	
35055	1284	10555	329443088	
35057	325	3171	106893319	
35059	182	1383	44714815	
35061	1209	13614	423130971	
35999	5279	20901	1145746534	
