area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
27001	428	3901	133165685	
27003	6797	121026	6095475327	
27005	984	14261	527399476	
27007	1168	19292	759148317	
27009	913	17173	679277250	
27011	209	1823	68731718	
27013	1913	39335	1606985583	
27015	792	13857	546200734	
27017	718	13555	562130780	
27019	2261	37498	1916506820	
27021	818	10056	308033698	
27023	420	5673	213792790	
27025	1070	15347	642435189	
27027	1296	18654	709828234	
27029	213	2767	109324792	
27031	287	2843	87626352	
27033	381	4449	161508640	
27035	2046	29042	1106741363	
27037	9487	186981	9632045825	
27039	428	5922	253788100	
27041	1324	18347	742386196	
27043	433	4690	174679452	
27045	632	6126	199810802	
27047	773	12048	477513658	
27049	1267	21450	954693453	
27051	251	1869	67951717	
27053	36921	901095	60245319854	
27055	430	5144	166880396	
27057	581	5983	211121207	
27059	750	10865	418275573	
27061	1162	15738	625067344	
27063	337	5429	193668649	
27065	298	3900	141978656	
27067	1319	23332	880217371	
27069	183	1466	53708672	
27071	411	4526	176100388	
27073	225	2206	73111077	
27075	306	3925	154059246	
27077	165	1596	51726815	
27079	701	9144	365153601	
27081	223	1711	57980436	
27083	798	14581	590402176	
27085	899	16555	719095381	
27087	117	1935	65474906	
27089	295	2211	89506402	
27091	652	8774	338233773	
27093	569	7269	261486452	
27095	664	9425	319670979	
27097	912	10906	376857939	
27099	826	16568	804753335	
27101	324	2962	103802508	
27103	698	14511	595150069	
27105	606	10359	422124775	
27107	229	1691	59763256	
27109	3276	95901	5517217759	
27111	1685	22539	840367156	
27113	411	10450	434969137	
27115	599	8227	250768095	
27117	344	4450	157129238	
27119	942	12301	468437084	
27121	333	4176	174582250	
27123	12731	327317	19813177408	
27125	120	1002	34718160	
27127	529	6620	233103577	
27129	567	5480	217053161	
27131	1488	24559	1068659885	
27133	288	3580	126077928	
27135	446	8094	335310350	
27137	5143	97263	4183652324	
27139	2924	48089	2270674605	
27141	1846	25624	1084184283	
27143	383	4368	167070624	
27145	4170	85399	3779165599	
27147	938	21597	890759391	
27149	334	5440	230160812	
27151	324	3558	130288332	
27153	536	5928	217459216	
27155	142	1070	36479830	
27157	555	6691	236448759	
27159	400	5837	220813897	
27161	483	6478	250361738	
27163	5265	81944	3693813738	
27165	307	4142	142991435	
27167	206	2018	87558571	
27169	1135	24791	982575737	
27171	2984	42321	1702512075	
27173	344	4061	144009905	
27999	19937	62144	5440168077	
