area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
24001	1599	29312	1091094958	
24003	15181	267653	15164688096	
24005	21373	373523	19849810470	
24009	1852	24142	1260658469	
24011	671	9346	376328091	
24013	4557	57894	2417258665	
24015	1945	31667	1453186225	
24017	2922	42920	1935754178	
24019	732	11202	433528169	
24021	6435	99418	4911055820	
24023	911	11705	386464691	
24025	5823	91428	4624242992	
24027	10043	168168	10888518275	
24029	734	7901	305054664	
24031	32962	463967	33268426430	
24033	16015	312033	17249776531	
24035	1457	14748	554745024	
24037	2123	43340	2804634421	
24039	456	6683	283429066	
24041	1561	19353	777759066	
24043	3538	66896	2716428638	
24045	2575	45006	1896362044	
24047	2176	24308	793082656	
24510	13743	337194	21314340245	
24999	19551	67366	5898507875	
