area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
56001	1281	15739	615549367	
56003	453	4213	167614747	
56005	1779	24978	1351496194	
56007	663	7148	334522051	
56009	585	5786	286786282	
56011	307	2336	93952757	
56013	1675	15541	606498618	
56015	449	4383	156311608	
56017	249	2011	68776933	
56019	485	3101	111284774	
56021	3589	45587	2013962245	
56023	845	6114	273706489	
56025	3508	38505	1765613559	
56027	134	909	31103596	
56029	1508	13811	539233841	
56031	385	3474	150095321	
56033	1405	13370	531675687	
56035	525	3901	209273732	
56037	1630	22340	1257096313	
56039	2304	20232	891064321	
56041	764	8311	328088645	
56043	478	3670	147498202	
56045	287	2316	85752278	
56999	762	4039	207547692	
