area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
48001	1679	20430	845584318	
48003	476	6801	385554251	
48005	1876	35842	1380054063	
48007	639	6246	224308416	
48009	254	1664	57068449	
48011	58	385	13741383	
48013	874	11973	516569178	
48015	999	10187	444496045	
48017	269	2516	95682023	
48019	461	3173	108608571	
48021	1348	17100	620686058	
48023	179	1204	40570354	
48025	623	9013	334735246	
48027	5253	116479	5142613340	
48029	39949	841335	40249743781	
48031	355	3016	125969310	
48033	63	249	7850429	
48035	365	3688	130318429	
48037	2362	42263	1621342587	
48039	5594	105991	5718770840	
48041	4405	99930	3901950599	
48043	388	3763	142696531	
48045	87	326	9934939	
48047	172	2369	92977393	
48049	919	15878	561860364	
48051	412	3880	154538721	
48053	1261	13744	555009306	
48055	712	8217	294619744	
48057	586	11120	693354398	
48059	232	2145	78513939	
48061	6529	138490	4439945224	
48063	247	3816	143442287	
48065	160	4715	370500108	
48067	555	7379	271356858	
48069	303	2571	92537731	
48071	667	13550	813988053	
48073	825	14760	509238712	
48075	238	2530	96943077	
48077	168	1303	43555013	
48079	119	705	26650026	
48081	101	683	22645138	
48083	251	2065	62260980	
48085	23526	380419	23885806934	
48087	120	874	35972813	
48089	638	6882	270323099	
48091	3439	51382	2154525766	
48093	333	3608	115585116	
48095	85	838	32077270	
48097	975	14349	618615695	
48099	1161	16485	634640011	
48101	139	490	18216463	
48103	111	1339	72973326	
48105	215	1504	55041352	
48107	215	1454	50322967	
48109	106	1251	49465467	
48111	384	4426	187906117	
48113	75070	1651334	107106176489	
48115	518	4331	160735169	
48117	504	7573	297315859	
48119	100	1296	27373877	
48121	14136	227819	11081914267	
48123	596	7331	297314978	
48125	67	452	14959592	
48127	330	5341	251015213	
48129	129	978	30237637	
48131	200	3178	118722413	
48133	490	6626	265338996	
48135	3895	67104	3504161392	
48137	68	376	12299934	
48139	2795	48584	2024940131	
48141	14810	296977	10979206323	
48143	1117	16278	543908445	
48145	292	3124	112475788	
48147	530	7301	280040701	
48149	812	9183	342857296	
48151	139	944	36018462	
48153	281	1646	56906333	
48155	69	329	9232451	
48157	12466	173591	8629139251	
48159	222	2977	114067002	
48161	396	4973	216832633	
48163	427	6160	271620399	
48165	607	6167	291877240	
48167	6125	107732	5055726562	
48169	199	1814	67606857	
48171	1056	10406	379941610	
48173	114	559	24705697	
48175	163	1259	43208891	
48177	543	7073	273184043	
48179	625	7812	357294651	
48181	3060	45095	1848292145	
48183	4258	74292	3242600154	
48185	495	7079	317353474	
48187	2074	38573	1563724778	
48189	894	11811	412370107	
48191	118	781	22741320	
48193	248	2467	85608889	
48195	240	2168	107765005	
48197	134	1177	40048990	
48199	852	12801	519664974	
48201	113415	2266730	153565486584	
48203	1373	23139	1084392580	
48205	165	2498	95162688	
48207	234	1673	54276708	
48209	4058	63865	2449743580	
48211	227	2028	116149816	
48213	1455	16800	559925922	
48215	12196	249614	8236014038	
