area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
33001	2015	25688	1066321740	
33003	2000	19999	714052303	
33005	2133	32006	1396268189	
33007	1032	11990	440560216	
33009	3237	53364	2937349165	
33011	12164	199731	11617849122	
33013	5077	76400	3760171046	
33015	10835	146932	7706409422	
33017	2890	47632	2396624704	
33019	1091	14203	598807223	
33999	8920	19403	2039476001	
