area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
54001	276	3277	113759794	
54003	1947	32942	1308856868	
54005	421	4958	203430297	
54007	347	3920	129170644	
54009	484	8056	312714445	
54011	2785	51611	2114889121	
54013	138	1210	49319337	
54015	142	1391	43563013	
54017	120	1442	64495645	
54019	964	10659	368120683	
54021	160	1972	73773392	
54023	303	3482	143190798	
54025	1092	13129	460222567	
54027	434	3953	122923829	
54029	663	9749	356899915	
54031	330	5956	192318141	
54033	2113	35206	1609901683	
54035	604	7789	294917078	
54037	1066	15613	651525997	
54039	5819	101129	4587209991	
54041	458	6210	252700329	
54043	281	2561	91950776	
54045	861	9780	381851111	
54047	374	4321	167495958	
54049	1351	18149	728798806	
54051	568	10195	503493600	
54053	410	5514	232166269	
54055	1393	19478	674697330	
54057	542	7710	298458505	
54059	541	4770	194370177	
54061	2657	55283	2664532099	
54063	244	1951	73950483	
54065	264	2715	89455517	
54067	712	7243	248361867	
54069	1533	28995	1161119999	
54071	185	1492	45289644	
54073	164	2832	133536340	
54075	265	3030	92856539	
54077	664	7274	273812761	
54079	1477	20502	981031798	
54081	2199	30982	1171870016	
54083	832	11590	379863058	
54085	252	3336	125640413	
54087	292	2877	99015270	
54089	200	2205	67932154	
54091	274	3276	129249181	
54093	216	2716	90557670	
54095	143	2174	99140866	
54097	675	7382	263332748	
54099	589	8195	341103627	
54101	216	1830	63608645	
54103	424	4569	142966494	
54105	81	556	16453111	
54107	2267	36598	1410364508	
54109	381	4287	180515756	
54999	5832	24301	1439846401	
