area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
32001	665	7773	336201705	
32003	56066	936500	43685714266	
32005	1878	18787	812393381	
32007	1421	21797	1032217669	
32009	32	360	18772183	
32011	58	4535	431732308	
32013	518	7542	416076486	
32015	131	3338	251070904	
32017	132	1231	43550915	
32019	1015	11439	453460702	
32021	92	1588	72821557	
32023	869	11264	555551366	
32027	129	1820	95610561	
32029	222	6641	336106675	
32031	14627	209985	9851736243	
32033	290	4019	212285206	
32510	2074	28501	1349745648	
32999	1263	6521	522882843	
