area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
37001	3361	59624	2306255393	
37003	566	8885	288126762	
37005	301	3283	94789666	
37007	453	7290	240324891	
37009	614	7035	231093800	
37011	598	6767	205870368	
37013	1178	16202	586600139	
37015	326	6210	191860842	
37017	614	12959	445749474	
37019	2711	30894	1140515845	
37021	8991	127316	5170211211	
37023	1459	29387	1040887380	
37025	4624	72759	2948257760	
37027	1364	24103	854722813	
37029	196	1367	49018562	
37031	2160	23099	736935510	
37033	272	2967	94276181	
37035	4367	85479	3450263655	
37037	1414	14359	513583716	
37039	708	7960	247644921	
37041	383	4539	155002189	
37043	248	2013	59126490	
37045	2023	34234	1304588588	
37047	1079	15499	526326924	
37049	2311	39424	1620953814	
37051	6180	119025	4817462006	
37053	711	6463	214924639	
37055	1889	19138	611465925	
37057	2835	43104	1608301766	
37059	871	12311	417535318	
37061	1070	20190	661825877	
37063	8124	195657	12790046319	
37065	915	16869	579462620	
37067	9203	182389	8884848703	
37069	1111	11517	460362133	
37071	4239	70085	2701304965	
37073	155	1460	46406960	
37075	198	1928	61601814	
37077	962	20889	893543825	
37079	319	4139	133947214	
37081	14276	278182	12687430284	
37083	1000	15626	514630647	
37085	1747	24529	824838477	
37087	1480	17071	592457008	
37089	2966	36887	1382512292	
37091	480	9029	317735885	
37093	476	8238	281061093	
37095	210	1941	60434793	
37097	5196	71664	3401282294	
37099	1012	13217	466801865	
37101	3362	46367	1755269393	
37103	208	1613	53601099	
37105	1393	25622	982550911	
37107	1344	27721	977526002	
37109	1742	22339	847341178	
37111	753	16120	547514149	
37113	1134	10985	356518665	
37115	385	3721	119330954	
37117	503	7099	212517597	
37119	36962	661927	41665118775	
37121	385	4736	158572033	
37123	503	9333	316948937	
37125	2546	34412	1290881602	
37127	2168	40282	1537162462	
37129	7900	109339	4661654524	
37131	329	5355	186068721	
37133	3060	47913	1589121264	
37135	4030	70294	3731507366	
37137	285	3376	95905691	
37139	976	15773	561012168	
37141	1172	11370	379030036	
37143	250	2050	65592947	
37145	735	10141	384396042	
37147	3747	74952	3212763970	
37149	568	5082	151757447	
37151	2573	44800	1547778830	
37153	854	13492	452039808	
37155	1994	38583	1248261254	
37157	1655	26523	918869186	
37159	2725	47071	1967553162	
37161	1300	18141	605980936	
37163	1144	18408	651589922	
37165	626	11736	411863885	
37167	1357	19060	641254521	
37169	689	7016	213169515	
37171	1798	28475	959193308	
37173	424	10332	352490011	
37175	890	8827	292679821	
37177	97	1139	34921268	
37179	5255	61388	2556101464	
37181	862	15039	506973927	
37183	33362	530547	28783849097	
37185	306	3422	102149115	
37187	253	3465	135109639	
37189	1686	22735	784174973	
37191	2283	42150	1497800834	
37193	1290	21826	750738495	
37195	1869	37160	1519454567	
37197	668	10121	329109379	
37199	352	3730	115849693	
37999	16211	100977	8198487841	
