area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
09001	34953	423640	36274033181	
09003	27377	505543	32980933005	
09005	5959	60847	2750022315	
09007	5201	68781	3692978339	
09009	23628	362092	19972375282	
09011	7320	122159	6477486330	
09013	3134	40495	1907963511	
09015	2777	38889	1660531188	
09999	6458	44108	4059062552	
