area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
40001	279	4359	145270186	
40003	168	1492	58432289	
40005	314	3327	99291685	
40007	178	1522	58617195	
40009	859	9449	408015665	
40011	330	2950	110880508	
40013	890	16593	593459070	
40015	596	7224	266306113	
40017	2973	31583	1239599617	
40019	1756	24009	970586985	
40021	766	15708	534136151	
40023	343	4141	126295084	
40025	96	731	22872942	
40027	5582	79653	3075764822	
40029	113	1144	35184783	
40031	2395	42903	1604613393	
40033	107	1453	46325583	
40035	417	5457	184457559	
40037	1452	18211	734142815	
40039	990	12138	458565314	
40041	794	8899	272455091	
40043	192	1627	67907463	
40045	145	1206	43433927	
40047	1761	26523	1204090574	
40049	769	9637	397191683	
40051	1142	12381	439510264	
40053	170	1505	68878364	
40055	116	1195	34822452	
40057	76	676	22191378	
40059	148	1168	40898631	
40061	254	3495	99233904	
40063	274	3024	84795622	
40065	644	9527	349197990	
40067	142	1139	38434657	
40069	228	3261	104047162	
40071	1250	17591	707048174	
40073	528	6193	275447048	
40075	237	2172	74375193	
40077	194	2884	118530661	
40079	920	12796	440082335	
40081	609	6414	217787979	
40083	747	7300	239357991	
40085	219	6255	195421872	
40087	1009	8833	312022726	
40089	719	11176	373435087	
40091	406	3925	114063291	
40093	265	2409	89488286	
40095	259	4050	139529618	
40097	877	12539	515534962	
40099	368	5510	182522247	
40101	1546	29629	1145677518	
40103	254	4688	193451605	
40105	175	1666	51541129	
40107	192	2374	70969214	
40109	27537	447610	22162244956	
40111	760	9751	334953354	
40113	598	6665	237025296	
40115	697	12126	382416112	
40117	287	3388	120353309	
40119	1999	33656	1299043474	
40121	1030	16169	677089313	
40123	1108	18196	729639573	
40125	1396	22981	767221256	
40127	244	2786	84167265	
40129	117	787	31762393	
40131	1876	26341	1140497261	
40133	529	7052	242657489	
40135	665	8776	239002654	
40137	1136	13910	558682376	
40139	607	9696	368389082	
40141	192	1899	66186180	
40143	22020	349471	16743247376	
40145	767	8782	333622510	
40147	1300	20309	1014801272	
40149	258	1887	63292111	
40151	331	3808	156904762	
40153	844	8666	373090415	
40999	4619	23555	1573076539	
