area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
17001	1812	32322	1280316309	
17003	109	1177	42305457	
17005	314	4673	183397097	
17007	910	17247	770804242	
17009	136	4040	182041809	
17011	844	11651	450885746	
17013	106	771	19592179	
17015	446	3955	129004638	
17017	299	5447	188137468	
17019	4280	89623	4140749081	
17021	761	10389	370294798	
17023	336	4764	164132682	
17025	398	5248	185757022	
17027	888	12151	425911031	
17029	1185	23806	885815346	
17031	150031	2561922	160588008930	
17033	443	7146	341980902	
17035	214	2574	82325930	
17037	2179	37595	1525767670	
17039	429	5226	253022384	
17041	638	7413	274529474	
17043	37352	612265	37271356060	
17045	402	7245	290130258	
17047	159	2388	83909203	
17049	1239	20544	763425023	
17051	524	5199	174309698	
17053	374	4489	175930287	
17055	791	8073	266395537	
17057	722	8333	271393315	
17059	150	1241	66188754	
17061	270	2308	68781930	
17063	1228	18977	1033080837	
17065	225	1905	75421101	
17067	443	3868	127299262	
17069	68	685	20880819	
17071	139	1056	29874887	
17073	1116	14192	510259281	
17075	818	7906	246526265	
17077	1304	24786	1020758218	
17079	241	2044	77991456	
17081	955	19692	810332342	
17083	430	4930	160660881	
17085	790	7580	252650417	
17087	206	2355	102164916	
17089	13498	207883	9810315421	
17091	2413	43273	1757266674	
17093	2295	27327	1063562047	
17095	1089	19112	643517009	
17097	21902	332564	23543718585	
17099	2723	42914	1860531884	
17101	303	4526	179481068	
17103	746	13020	553845301	
17105	916	13668	594167908	
17107	620	9162	362688288	
17109	653	11152	416385124	
17111	8587	96943	4267915417	
17113	3706	83683	4291447023	
17115	2388	49393	2407471815	
17117	984	10135	345714996	
17119	5874	97974	4077139012	
17121	909	12851	466931573	
17123	282	2968	109405251	
17125	332	3051	98919389	
17127	222	3345	166376806	
17129	247	1774	55159607	
17131	323	3000	96753936	
17133	803	8225	278045691	
17135	745	8769	323700498	
17137	798	14302	551401019	
17139	353	4921	183829517	
17141	1117	15994	706876973	
17143	4499	100458	5125781077	
17145	385	4752	175719982	
17147	380	3298	114728546	
17149	471	4059	130642535	
17151	58	568	16786150	
17153	113	1398	61797709	
17155	170	1914	86467279	
17157	675	12596	495218913	
17159	443	6003	209269600	
17161	3154	71854	3866226920	
17163	5366	93274	3851931366	
17165	578	7651	273100615	
17167	5119	128646	6698750648	
17169	163	1539	58221241	
17171	102	1019	35206587	
17173	464	4798	149304177	
17175	143	1355	47887632	
17177	1108	16223	681922426	
17179	2816	55061	3217585471	
17181	367	4984	160998460	
17183	1513	27312	1114408840	
17185	308	3242	109719530	
17187	399	6321	214214441	
17189	418	6131	274854077	
17191	427	3802	122613951	
17193	391	4227	152078583	
17195	1296	20919	751622207	
17197	15785	230559	10780905115	
17199	1510	27989	1067281782	
17201	6566	127007	5619749868	
17203	805	9867	383432104	
17999	49350	133679	11145881013	
