area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
05001	782	9897	390766304	
05003	566	6638	275251195	
05005	1214	14603	486531735	
05007	6111	114646	6263331437	
05009	988	13918	500160657	
05011	364	3691	118979941	
05013	104	2755	140844975	
05015	795	10803	308669701	
05017	520	3238	99248696	
05019	625	9101	304692339	
05021	397	3336	95930433	
05023	673	6548	205395439	
05025	125	963	29502030	
05027	730	8067	307505191	
05029	560	6632	238604693	
05031	2800	48620	1811429014	
05033	1245	19460	668121418	
05035	1284	16503	581625103	
05037	483	4991	162418350	
05039	256	2838	85674024	
05041	554	4577	151515687	
05043	537	6410	216592555	
05045	2823	40264	1558638363	
05047	372	4471	157629140	
05049	199	1826	51564513	
05051	3111	36361	1260420414	
05053	348	3965	147905372	
05055	890	15354	548113161	
05057	516	7822	264667984	
05059	628	8478	292157391	
05061	362	6977	220385047	
05063	927	15398	548802871	
05065	270	3135	99613020	
05067	459	5317	186369610	
05069	2126	28237	1102269910	
05071	513	8623	271524814	
05073	181	1209	39791590	
05075	430	4032	126974071	
05077	303	1970	63182593	
05079	290	2862	92447972	
05081	249	3474	176331726	
05083	513	5538	170494846	
05085	1315	14031	469209070	
05087	261	3172	104415441	
05089	284	3814	109513217	
05091	892	12951	493259325	
05093	1194	17985	773943339	
05095	312	2140	62617499	
05097	176	1382	37047142	
05099	203	2462	87693201	
05101	132	1106	28005475	
05103	659	7077	231463072	
05105	150	1226	39371998	
05107	799	5464	170268436	
05109	261	2477	72448335	
05111	535	5230	182484630	
05113	501	5835	174173127	
05115	1824	26148	1015822188	
05117	268	1484	47707901	
05119	14322	247493	11773608786	
05121	406	4871	144980777	
05123	759	7934	270219660	
05125	1974	23492	805172814	
05127	188	3068	87589381	
05129	180	1559	40935032	
05131	3691	66336	2697305343	
05133	326	4894	154557212	
05135	399	3843	111414801	
05137	282	2552	70476967	
05139	1312	17772	818665941	
05141	364	3575	125644943	
05143	5878	103088	4577523392	
05145	1824	23998	852587934	
05147	217	1778	59402065	
05149	423	6440	194057611	
05999	8908	31543	1837231211	
