area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
46003	104	872	26871630	
46005	677	8563	328184048	
46007	99	888	26781809	
46009	219	1762	57544993	
46011	1070	18494	766866571	
46013	1478	20940	834178397	
46015	262	1862	57304774	
46017	25	518	19144020	
46019	387	2838	92524228	
46021	75	479	15544370	
46023	344	3397	110407097	
46025	166	1015	32555911	
46027	377	5664	203589370	
46029	1239	15871	590293726	
46031	67	851	29745112	
46033	336	2331	78210314	
46035	829	12431	468460199	
46037	232	1934	58058209	
46039	183	1368	54217238	
46041	140	2199	82233517	
46043	126	1139	38053211	
46045	172	1217	45015487	
46047	296	2450	85718645	
46049	98	600	19378466	
46051	357	3752	144402885	
46053	229	1505	44694072	
46055	107	790	27825467	
46057	238	1903	66457595	
46059	154	1379	44677905	
46061	98	628	22498715	
46063	62	442	17253930	
46065	838	10888	458426928	
46067	276	2621	87817305	
46069	61	534	20390798	
46071	84	712	20017042	
46073	110	1365	47566997	
46075	70	440	12472657	
46077	222	1735	60308555	
46079	463	4850	184415471	
46081	1178	11775	391803774	
46083	1863	20785	977867997	
46085	123	1435	41492128	
46087	231	1354	46359802	
46089	88	606	18122577	
46091	196	1651	59431429	
46093	802	6878	264885552	
46095	47	326	8480102	
46097	105	725	23189959	
46099	7089	124333	5745191488	
46101	204	2367	87214114	
46102	119	3718	142074777	
46103	4402	56347	2252870236	
46105	151	1215	37211563	
46107	128	868	28601867	
46109	286	3579	118882355	
46111	77	574	17906906	
46115	275	2391	84819360	
46117	141	1315	45108037	
46119	95	588	20351307	
46121	105	2844	101774209	
46123	269	2125	69975795	
46125	296	2062	68390590	
46127	686	9547	497803498	
46129	258	2177	71422146	
46135	837	12641	499188909	
46137	34	303	10028560	
46999	533	2707	203114648	
