area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
30001	496	3827	134604742	
30003	288	4629	182271049	
30005	197	1457	50277398	
30007	188	1391	48063879	
30009	489	2638	85161402	
30011	46	278	8308032	
30013	2731	35321	1375046049	
30015	207	1146	35420762	
30017	481	5325	192001819	
30019	84	610	23897054	
30021	393	3530	142223999	
30023	278	3331	117525131	
30025	183	1371	67969978	
30027	517	4450	159405307	
30029	4527	41908	1646221327	
30031	6216	54480	2231972764	
30033	53	295	7884907	
30035	312	4150	152452262	
30037	29	188	5236738	
30039	140	888	27648734	
30041	591	6865	252982600	
30043	348	2563	107329900	
30045	97	459	15032700	
30047	944	8832	299940704	
30049	2759	35581	1567779702	
30051	91	516	14805764	
30053	696	5319	177510400	
30055	75	553	20295679	
30057	461	4004	140661319	
30059	107	615	16992471	
30061	134	1114	32694965	
30063	4973	58601	2314208138	
30065	154	1211	55041082	
30067	934	5786	192316437	
30069	21	93	2524766	
30071	183	1232	40703084	
30073	226	1771	57040087	
30075	94	552	16683671	
30077	218	2305	88585704	
30079	55	306	10578250	
30081	1715	11550	402872646	
30083	674	5541	275774116	
30085	289	3699	133356930	
30087	239	4061	195220259	
30089	420	2790	86373639	
30091	227	1404	55259831	
30093	1285	15773	640895674	
30095	329	3060	174389923	
30097	224	1496	72204761	
30099	279	1756	58610032	
30101	239	1914	77366364	
30103	39	193	6409689	
30105	335	3219	113667086	
30107	90	607	19218280	
30109	46	288	8715811	
30111	6405	80961	3649951663	
30999	2173	7017	430707863	
