area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
41001	676	5374	188114925	
41003	2648	36674	1791522505	
41005	14182	157789	7811624328	
41007	1626	18134	645481045	
41009	1235	10907	408443030	
41011	1917	22448	831850055	
41013	643	6038	270398000	
41015	831	6558	223649971	
41017	7789	76668	3217550047	
41019	3103	37355	1446866382	
41021	116	778	30632810	
41023	333	2422	89274140	
41025	290	2427	84161291	
41027	1299	13279	483888493	
41029	7075	85168	3433620681	
41031	553	6655	243310663	
41033	2435	25838	903390142	
41035	1983	22649	834221732	
41037	299	2466	92777529	
41039	11708	151396	6288570575	
41041	1847	17972	638326592	
41043	3376	44961	1841832573	
41045	1021	12880	436054884	
41047	10218	149278	6411508637	
41049	339	5726	293983829	
41051	33160	492062	27281114232	
41053	1871	19630	691853344	
41055	112	844	38325117	
41057	978	9306	343495288	
41059	2192	30435	1139950476	
41061	965	9976	363586825	
41063	442	2558	86183665	
41065	1017	11889	452524104	
41067	18447	283114	18661869051	
41069	58	287	8460577	
41071	3100	34507	1360575221	
41999	5298	24425	1706377414	
