area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
51001	1141	13051	468950090	
51003	3510	53600	2796680195	
51005	354	3793	129756262	
51007	368	2462	85143662	
51009	742	8409	299369605	
51011	465	3194	90768533	
51013	9348	172888	14862535640	
51015	1773	27115	1136615593	
51017	235	2308	88256010	
51019	2164	18876	685671749	
51021	139	1907	79525662	
51023	845	10286	396261814	
51025	597	3940	135073822	
51027	590	6489	268554142	
51029	413	3286	118975472	
51031	1398	16716	738347388	
51033	553	5725	215658038	
51035	608	6471	195802739	
51036	220	1560	64782930	
51037	348	2909	99766738	
51041	8871	134066	6013852539	
51043	456	3842	164024993	
51045	102	692	23728222	
51047	1406	15481	634244641	
51049	217	1359	43786104	
51051	365	3321	123470355	
51053	462	8470	334439978	
51057	370	3979	128838769	
51059	37312	595313	48498252279	
51061	2458	22054	1037130719	
51063	441	3116	90808844	
51065	544	4190	160061022	
51067	1494	14689	475696653	
51069	1889	30204	1279030085	
51071	392	4691	180058290	
51073	980	9341	306140351	
51075	819	15399	1338038045	
51077	389	2650	79179202	
51079	493	3669	125256950	
51081	222	4603	173512835	
51083	1042	12105	427198874	
51085	3752	50324	2088979513	
51087	11493	189377	9810817906	
51089	1660	15546	496982079	
51091	115	500	15134530	
51093	758	10806	460261257	
51095	1908	28975	1089008424	
51097	171	927	34771438	
51099	625	11418	832985225	
51101	413	3854	165784204	
51103	490	4509	158654848	
51105	554	4474	145864323	
51107	11987	159753	9786620711	
51109	930	9140	437026749	
51111	302	2555	83919294	
51113	365	3097	109859996	
51115	215	1493	41267469	
51117	1097	11772	389248566	
51119	385	3287	109705459	
51121	2285	41878	1754495673	
51125	571	3972	129655623	
51127	456	4320	157487158	
51131	584	5197	164542946	
51133	363	2491	94196223	
51135	423	5717	194642698	
51137	899	9735	347909489	
51139	584	5531	168476046	
51141	496	5432	144765251	
51143	1322	12136	397637769	
51145	800	6987	273357757	
51147	659	8971	307643414	
51149	613	14930	753422427	
51153	9212	126283	5817089922	
51155	770	13548	494881913	
51157	284	1524	78872265	
51159	225	2861	105543212	
51161	2482	38238	1532346522	
51163	473	5740	176660709	
51165	1720	31921	1337412362	
51167	639	6992	267470970	
51169	447	4627	144688276	
51171	1187	13754	479307952	
51173	887	12793	434271007	
51175	339	3709	125658477	
51177	2977	35000	1322795028	
51179	2667	42575	2082855678	
51181	99	2326	168493960	
51183	267	3762	135907269	
51185	1147	14685	473212097	
51187	1080	12076	450707081	
51191	1565	20645	730955147	
51193	389	3424	102924452	
51195	973	11471	386077214	
51197	890	11697	382172432	
51199	1587	21738	814811259	
51510	6552	94885	7020455007	
51520	664	9498	349650052	
51530	134	2475	84571539	
51540	2512	39564	2034241743	
51550	6018	98448	4051187547	
51570	748	10905	335575243	
51580	263	4063	199135628	
51590	1729	26956	948866563	
51595	266	3274	99092521	
51600	1756	19227	1045032006	
51610	1038	11701	770641985	
51620	354	4412	132404561	
51630	1691	23947	1011589839	
51640	403	6283	184613608	
51650	2837	53937	2438781023	
51660	1650	31363	1112149335	
51670	510	7650	413392450	
51678	352	4850	197187307	
51680	2635	51272	2154482004	
51683	1589	22621	1358097018	
51685	283	3282	148661374	
51690	1044	9060	308343772	
51700	3850	96225	4923559219	
51710	5861	140246	7403619104	
51720	267	3627	131895660	
51730	915	13244	511857598	
51735	223	1740	54083309	
51740	1882	43715	2225177817	
51750	329	5957	255143918	
51760	7730	153128	8937242422	
51770	3285	67358	3054607410	
51775	1058	20321	955247947	
51790	858	11099	378195772	
51800	1791	29850	1379743527	
51810	12115	176470	7235788286	
51820	727	9716	355781483	
51830	520	13064	517341531	
51840	1511	24890	1164651249	
51999	20279	100712	8149046933	
