area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
47001	1630	38942	2127178587	
47003	811	18415	714793680	
47005	303	3901	121721438	
47007	141	2174	68615476	
47009	2351	47199	2131808274	
47011	1880	41724	1618070044	
47013	618	9172	302567501	
47015	207	2057	67444757	
47017	458	7235	248799786	
47019	685	10921	358100591	
47021	617	7998	326570030	
47023	264	3708	124641638	
47025	483	8735	301534683	
47027	134	1582	48075507	
47029	486	7632	252180690	
47031	1292	25664	1105969186	
47033	263	3709	143352728	
47035	1107	17825	589412054	
47037	21337	470477	26498825474	
47039	222	3591	128796932	
47041	308	5520	196598496	
47043	990	16657	623015360	
47045	815	15306	567819152	
47047	592	7777	332841129	
47049	274	4739	148122947	
47051	765	11878	410881082	
47053	961	13861	478660293	
47055	597	10772	406007738	
47057	267	3827	133410000	
47059	1144	25745	946547467	
47061	171	2002	53168952	
47063	1318	30646	1146040547	
47065	9255	196794	9368208351	
47067	65	849	21907261	
47069	373	6628	247713483	
47071	523	7845	332523341	
47073	651	12619	489769857	
47075	329	4966	187754522	
47077	499	7738	280343779	
47079	724	11308	408249442	
47081	298	3722	131212977	
47083	115	1487	43768426	
47085	335	5779	266237676	
47087	120	1377	45594710	
47089	721	13003	518564721	
47091	259	4277	172582414	
47093	11839	235681	10944227392	
47095	117	1836	56170667	
47097	347	6055	214496439	
47099	727	10147	337040937	
47101	218	2678	78232222	
47103	600	9898	354817963	
47105	965	15173	602159303	
47107	882	17550	731486717	
47109	439	5603	175709047	
47111	333	4756	150394813	
47113	2426	58221	2375273420	
47115	467	7444	265998574	
47117	531	8772	332924392	
47119	1819	32297	1453220093	
47121	126	1938	69321581	
47123	709	13790	522563488	
47125	2921	51699	1862421447	
47127	75	1953	85795698	
47129	176	2913	93776697	
47131	681	9736	340829101	
47133	326	4616	160621221	
47135	125	1963	57898797	
47137	106	1050	32503288	
47139	244	2365	74590295	
47141	1860	35322	1291643694	
47143	473	11112	471300517	
47145	749	18163	1095274599	
47147	1119	22503	845965477	
47149	5277	118753	5592704840	
47151	334	5364	159539707	
47153	214	2960	92901451	
47155	2669	45604	1337505204	
47157	20028	491027	26166453360	
47159	320	4783	183459806	
47161	181	2615	118423104	
47163	3374	68221	3090161507	
47165	3471	51343	2118876094	
47167	752	10838	394909702	
47169	134	1552	49720823	
47171	258	4860	209346264	
47173	225	2367	76027210	
47175	54	773	24589013	
47177	802	13779	512940695	
47179	2866	60837	2392291889	
47181	225	3532	111079548	
47183	550	10848	350484964	
47185	434	6983	245792575	
47187	8219	123592	7507901711	
47189	2649	40178	1668083366	
47999	10976	61926	4171961914	
