area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
23001	3121	49348	1974761578	
23003	2565	27206	969785517	
23005	13777	178895	8734641272	
23007	956	10566	359228521	
23009	2622	22231	819673900	
23011	3922	59902	2421829490	
23013	2028	17639	651630817	
23015	1600	11177	383458199	
23017	1573	16672	588842745	
23019	4792	69443	2739157789	
23021	564	5572	178076066	
23023	1143	15890	768912825	
23025	1439	16883	660180364	
23027	1226	11412	421808604	
23029	1169	10285	357334557	
23031	6808	70628	2985964145	
23999	3627	10035	703566680	
