area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
36001	10258	232495	12884610996	
36003	942	13531	510010660	
36005	18426	299438	15047737050	
36007	4519	86485	3561554597	
36009	1809	29557	1136945088	
36011	1778	25976	1094731842	
36013	3185	49061	1825207977	
36015	1954	35517	1582894892	
36017	1096	17507	760414938	
36019	2009	33268	1421503292	
36021	2022	21837	882733112	
36023	1101	18054	680737619	
36025	1164	14597	597108290	
36027	8355	110272	5640087451	
36029	24433	466253	21928929424	
36031	1257	14685	563087496	
36033	1165	18053	743262830	
36035	1214	17111	653098179	
36037	1473	23298	904496328	
36039	1268	14454	584762126	
36041	239	1863	59726833	
36043	1256	16620	602338508	
36045	2858	41304	1627216609	
36047	60515	687358	30522941204	
36049	593	6452	239755388	
36051	1437	20201	746499442	
36053	1625	21153	814115711	
36055	18669	383990	18978317328	
36057	1227	18980	731280606	
36059	53291	622087	37285074410	
36061	127869	2415773	274236493774	
36063	4861	72963	2977535282	
36065	5308	104211	4285555233	
36067	12871	243700	11868814971	
36069	3180	52614	2445324664	
36071	10278	140467	6304273632	
36073	778	12658	506139947	
36075	2372	33958	1477284808	
36077	1586	23470	960004734	
36079	3069	26157	1334776607	
36081	51632	647912	32852568100	
36083	3294	52034	2554894298	
36085	9611	115173	5402721705	
36087	10547	121227	6343951064	
36089	2169	34974	1483888236	
36091	5873	84196	4037247576	
36093	3445	62878	3455795060	
36095	698	8587	318306108	
36097	434	4886	177242754	
36099	757	11476	504851015	
36101	2119	36901	1959827830	
36103	52128	650509	37320530795	
36105	2017	26239	1023402269	
36107	912	13004	649183924	
36109	2669	50386	2517435171	
36111	5186	59989	2481596867	
36113	2487	38531	1577112430	
36115	1210	15251	645925304	
36117	2069	28740	1173802039	
36119	36130	422288	29307634831	
36121	897	13569	550409843	
36123	624	7053	236433376	
36999	32352	160795	14338125155	
