area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
08001	10394	198368	10155935204	
08003	562	8062	290569525	
08005	21480	321758	20028935406	
08007	548	4066	134397934	
08009	116	1100	31872107	
08011	90	1195	38002398	
08013	14683	176652	10955951640	
08014	2664	36968	2998237576	
08015	938	7541	259649683	
08017	95	687	27130493	
08019	351	2876	129986513	
08021	150	1459	42813701	
08023	85	864	23703216	
08025	57	1092	41684768	
08027	150	866	28549509	
08029	879	8361	273957564	
08031	30641	494890	32273848365	
08033	75	508	16587050	
08035	11485	116821	6990469535	
08037	3428	31721	1382331601	
08039	657	3509	134894040	
08041	18452	263521	12430366937	
08043	918	13412	514185433	
08045	2557	25585	1194409186	
08047	158	4960	206538788	
08049	846	7335	246975891	
08051	1151	8201	290947678	
08053	76	276	7972082	
08055	189	1727	53618447	
08057	92	546	18433656	
08059	20697	233337	12565367759	
08061	53	431	14953903	
08063	312	2977	103866231	
08065	232	2261	75914560	
08067	2542	26298	1176704968	
08069	11557	153102	7340658894	
08071	450	4768	173103084	
08073	164	2151	77423495	
08075	652	8143	300699082	
08077	4770	59593	2433887117	
08079	75	541	15153579	
08081	443	4678	215438906	
08083	811	8997	310212341	
08085	1320	14416	542492195	
08087	731	11851	481377263	
08089	490	6013	198322329	
08091	317	1688	57391951	
08093	535	2439	88818961	
08095	172	1656	59002357	
08097	1789	16128	816894881	
08099	389	4392	140322659	
08101	3184	59904	2407917122	
08103	260	2740	132625212	
08105	406	3881	137789818	
08107	1754	14584	630747077	
08109	170	1596	48909928	
08111	75	296	7794476	
08113	670	5180	206582571	
08115	83	789	25778915	
08117	2246	20897	796230144	
08119	816	7117	262864230	
08121	147	1214	45735493	
08123	6841	100194	4634743227	
08125	419	3900	142566175	
08999	2367	19426	1638141963	
