area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
22001	1277	14238	476797433	
22003	423	7817	277178613	
22005	2710	44399	2403087802	
22007	321	3856	154468069	
22009	856	10564	310537779	
22011	714	8640	325055335	
22013	303	4247	154965025	
22015	2812	43592	1597278636	
22017	7168	114285	4815356108	
22019	5108	94283	4404524752	
22021	226	2391	77313799	
22023	194	11141	851975603	
22025	243	1950	60537727	
22027	282	3389	121732650	
22029	435	5466	174722869	
22031	517	6491	317702866	
22033	15122	268133	13386956969	
22035	189	1874	54406904	
22037	336	4870	190450721	
22039	610	7996	267619577	
22041	433	4601	133337600	
22043	212	3366	128500348	
22045	1911	27404	1239576485	
22047	715	15583	1030141610	
22049	296	3598	132742250	
22051	13539	193457	9099600023	
22053	753	8486	298745960	
22055	9329	130217	5962542630	
22057	2072	34694	1700805219	
22059	431	4292	152099493	
22061	1199	18682	662791416	
22063	2146	26446	947611082	
22065	279	3362	95326720	
22067	519	6821	207493867	
22069	953	13291	444075048	
22071	12166	193474	9692034670	
22073	4680	71415	2772136260	
22075	809	13446	856361213	
22077	450	4990	170255151	
22079	3636	58299	2286245706	
22081	182	2492	92368301	
22083	522	6451	209272972	
22085	547	5243	177958981	
22087	799	10323	460555243	
22089	1213	24788	1631799750	
22091	115	1465	54117854	
22093	407	7867	525104068	
22095	906	14570	787235385	
22097	1886	23812	830391451	
22099	1040	12047	461398408	
22101	1506	22549	1087275724	
22103	7954	88119	3937817621	
22105	2796	42368	1478698523	
22107	140	982	31395640	
22109	3280	51686	2533353561	
22111	387	4838	147908278	
22113	1203	12729	486766652	
22115	933	13255	489372878	
22117	757	10483	360392784	
22119	917	11631	435030077	
22121	702	13206	669836088	
22123	221	2433	83770302	
22125	255	5256	262236805	
22127	349	4721	164654029	
22999	2609	19542	1231998918	
