area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
53001	848	7985	297857472	
53003	634	5986	213896379	
53005	5774	84869	4462386847	
53007	3461	43248	1619855614	
53009	2425	22688	850259753	
53011	14507	149070	7276706594	
53013	233	1246	48568244	
53015	3012	37987	1740119231	
53017	1255	12002	421698796	
53019	301	1759	67506768	
53021	2677	33839	1289180382	
53023	107	725	30153565	
53025	3301	38806	1497499421	
53027	2456	22211	845594320	
53029	1999	15796	588989694	
53031	1132	8382	308768991	
53033	86966	1315662	100973689956	
53035	6721	86369	4181043401	
53037	1431	14393	560929574	
53039	780	7110	329609396	
53041	2435	24685	962698496	
53043	541	2769	97220607	
53045	1323	14034	536671984	
53047	1986	18523	571341700	
53049	857	6416	219047412	
53051	398	3024	140451430	
53053	22055	295451	14126425023	
53055	997	5707	193130291	
53057	4072	49585	2190359212	
53059	276	2190	75834198	
53061	20857	283295	16265834049	
53063	15790	215023	9622511606	
53065	1177	10349	377001815	
53067	8244	110219	5273064215	
53069	128	700	23942307	
53071	2160	27381	1126484048	
53073	7305	88102	3808186079	
53075	1300	18391	834034585	
53077	7826	111530	4090291874	
53999	1995	17505	1623357032	
