area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
21001	404	4442	137129144	
21003	306	4530	157164532	
21005	405	4563	163611383	
21007	170	1697	83573019	
21009	1056	17036	594042373	
21011	193	1933	64937637	
21013	583	8291	272467438	
21015	4357	83884	3895362616	
21017	530	6635	259311686	
21019	1642	24239	1074638343	
21021	848	13780	535835600	
21023	158	1363	48833033	
21025	335	3091	103905568	
21027	390	3399	109078348	
21029	1286	24271	851440711	
21031	259	3131	104576450	
21033	334	4189	133598612	
21035	1025	16479	549279387	
21037	2198	29907	1243243188	
21039	135	1227	50334141	
21041	310	6944	384745821	
21043	533	5526	172462112	
21045	303	3913	121225112	
21047	1698	31163	1242976363	
21049	867	14485	586217028	
21051	367	4181	143288826	
21053	259	3688	110729682	
21055	182	2161	67913198	
21057	144	1695	58455830	
21059	3110	45567	1813149085	
21061	154	1506	48481106	
21063	87	918	28183619	
21065	229	2355	76172906	
21067	10872	192405	9073239326	
21069	315	2951	96255780	
21071	1056	10657	413907188	
21073	1894	31765	1369822546	
21075	193	2057	66218066	
21077	150	2589	114589866	
21079	297	2197	74015070	
21081	488	4996	188304305	
21083	877	10855	387182625	
21085	651	7736	255948279	
21087	193	1705	49560351	
21089	606	7868	294830369	
21091	197	4142	276289266	
21093	3108	48041	1966896133	
21095	527	5959	202192819	
21097	346	4828	191551589	
21099	333	5115	173246571	
21101	1203	19974	793056431	
21103	305	2614	94092996	
21105	102	1026	29887653	
21107	1113	17986	730548605	
21109	160	1747	54676759	
21111	25337	459791	24006257962	
21113	1314	16672	626575412	
21115	543	5299	172651319	
21117	4132	64306	3298724938	
21119	270	2319	74731222	
21121	569	7587	238668001	
21123	294	2643	84080312	
21125	1482	26412	929539095	
21127	277	3174	111757058	
21129	154	1479	50866598	
21131	169	1670	59284784	
21133	448	4278	145152925	
21135	196	1947	59050559	
21137	422	4122	131301840	
21139	206	2638	110315281	
21141	603	8378	350593684	
21143	216	2444	71742795	
21145	2468	39323	1648008419	
21147	251	2581	88534243	
21149	212	2070	73132274	
21151	2007	33566	1285346769	
21153	218	1630	47755985	
21155	472	8540	322610831	
21157	802	11193	533959595	
21159	216	2465	98389814	
21161	535	8612	334194482	
21163	428	4146	152791036	
21165	99	885	27666469	
21167	475	6464	299295438	
21169	189	1843	60253525	
21171	268	3173	96158546	
21173	694	11026	400842324	
21175	222	2912	97945317	
21177	632	8929	375333509	
21179	1203	15406	596624556	
21181	106	816	24216637	
21183	429	7452	245888932	
21185	1602	15514	651047844	
21187	128	1723	63781975	
21189	87	676	18144724	
21191	218	2279	91058302	
21193	856	11197	411527705	
21195	1611	20318	845010592	
21197	237	2575	77530006	
21199	1703	25607	890742765	
21201	52	301	7789693	
21203	237	3524	116372212	
21205	605	10326	347009085	
21207	415	5535	166179882	
21209	1213	26087	1395985152	
21211	1142	16285	634013574	
21213	490	8648	324444734	
21215	287	1844	66149082	
21217	749	11785	392597398	
21219	246	2304	69565103	
21221	284	3050	98024648	
21223	116	1078	49569030	
21225	361	5020	204415257	
21227	3798	63089	2565071258	
21229	313	3337	126115714	
21231	365	5459	168607717	
21233	250	3066	144130726	
21235	861	11660	428390998	
21237	128	1224	34403363	
21239	750	9044	377434389	
21999	6068	28921	1792960076	
