area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
39001	572	6042	219277227	
39003	2465	50406	2129979362	
39005	1128	18358	688126902	
39007	2052	30112	1066452697	
39009	1196	21089	838637072	
39011	1061	21127	877518025	
39013	1624	23084	863906481	
39015	659	8081	279637658	
39017	7618	150345	7039725732	
39019	557	6650	245285058	
39021	693	10699	418554801	
39023	2530	47917	1826404798	
39025	3918	58254	2462063778	
39027	820	16945	720207834	
39029	2145	29637	1048850522	
39031	723	10288	377940053	
39033	919	13424	480261915	
39035	35607	719480	38841905492	
39037	1210	18529	695034184	
39039	859	15625	669707477	
39041	5058	85181	4457210145	
39043	1981	36970	1368246920	
39045	2875	42562	1542064074	
39047	664	11842	389978369	
39049	31376	738559	39247216725	
39051	1076	18727	731023795	
39053	694	10965	385276193	
39055	2906	34310	1384231250	
39057	3477	71731	3762013898	
39059	951	15099	577063888	
39061	23658	509034	29261092587	
39063	1810	45397	2136147320	
39065	529	8374	294955224	
39067	355	3634	138961467	
39069	657	11094	442664728	
39071	768	10266	331911916	
39073	538	6824	217700080	
39075	1335	19519	703794721	
39077	1287	21036	820142069	
39079	712	10094	349347693	
39081	1415	20549	794853953	
39083	1159	20300	790113789	
39085	6262	94659	4092118538	
39087	951	12553	423757195	
39089	3336	53504	2176098646	
39091	916	19751	868811057	
39093	6181	97156	4027823704	
39095	10064	209850	9665009332	
39097	841	17229	719910568	
39099	5886	97614	3618924653	
39101	1242	24151	954859064	
39103	4472	60041	2462249887	
39105	342	3488	104871372	
39107	1083	19853	746879887	
39109	2296	40426	1636794980	
39111	347	2680	82164699	
39113	11933	252750	11402911464	
39115	215	2627	89214042	
39117	443	5705	222039601	
39119	1840	33463	1257817989	
39121	280	3079	111127223	
39123	1109	13630	559004274	
39125	383	4884	168539942	
39127	528	5706	187804051	
39129	907	13568	560945733	
39131	518	9636	446483715	
39133	3263	54470	2287830847	
39135	738	10454	370836992	
39137	809	11737	422283744	
39139	2709	50782	1846320770	
39141	1369	27771	1167255259	
39143	1390	25925	1000953096	
39145	1425	23806	856307491	
39147	1182	19256	678650199	
39149	1035	27233	1320173557	
39151	8610	158204	6217218019	
39153	14213	266282	12698758023	
39155	4285	69189	2784262292	
39157	2292	36331	1353085177	
39159	1227	31542	1794588257	
39161	628	10853	388127183	
39163	200	2222	77485243	
39165	4782	91010	4512816898	
39167	1627	24941	1086397134	
39169	2715	47407	1992659986	
39171	894	17332	660369406	
39173	2960	65646	2828565861	
39175	576	9250	364495354	
39999	18140	111883	8538230428	
