area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
49001	243	2719	92055174	
49003	1309	19982	729915536	
49005	3523	52930	1856308371	
49007	625	8044	317460569	
49009	51	404	13121825	
49011	8110	120916	5174140318	
49013	806	7619	338066804	
49015	241	3066	133723972	
49017	250	2322	68808835	
49019	550	5376	168172123	
49021	1490	16682	538202133	
49023	271	3591	126058148	
49025	319	3364	105132513	
49027	380	4551	181458411	
49029	320	2128	77601731	
49031	46	246	6636240	
49033	127	783	20887306	
49035	43142	668481	34198959707	
49037	335	4083	145420144	
49039	597	7378	226347557	
49041	653	8389	284108843	
49043	2743	26513	1098277256	
49045	1075	15798	622852037	
49047	1256	12393	523817399	
49049	15092	219775	9378520007	
49051	1000	8151	303870138	
49053	5371	60188	2051516286	
49055	128	997	28437312	
49057	5850	102007	4043236656	
