area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
26001	187	1718	56336778	
26003	225	2494	98397120	
26005	2159	38155	1702927107	
26007	788	11854	436122863	
26009	518	5204	162225925	
26011	312	4472	146759371	
26013	214	2872	110356425	
26015	854	12173	461570315	
26017	2118	34874	1454060354	
26019	437	4139	131445568	
26021	3466	61680	2849511205	
26023	776	13068	510436228	
26025	2276	56789	2831603346	
26027	737	9184	341900131	
26029	778	10353	441387137	
26031	771	6516	202780964	
26033	820	12471	459228459	
26035	525	6739	245665109	
26037	1186	16513	683376318	
26039	281	3784	150802659	
26041	1022	13546	511953191	
26043	857	13828	608900390	
26045	1847	41716	1903394156	
26047	1382	17637	684972546	
26049	6864	133469	5868446817	
26051	392	3989	136363950	
26053	402	5387	199528254	
26055	3239	49926	2089036796	
26057	724	12985	519740991	
26059	786	13047	531210331	
26061	868	11166	455565010	
26063	961	11030	407744809	
26065	6023	149623	7563590698	
26067	927	19708	615350246	
26069	566	7484	256818562	
26071	369	3891	136452879	
26073	1326	29300	1071820607	
26075	2686	57440	2631646564	
26077	5004	117002	5783580846	
26079	320	3890	176501809	
26081	14230	388828	18028307816	
26083	72	429	11356605	
26085	151	1631	53237991	
26087	1502	21159	795280269	
26089	672	6412	220885575	
26091	1740	27154	1111996058	
26093	4717	58646	2473067536	
26095	186	1877	67063635	
26097	455	4435	137624895	
26099	17575	320677	17087018233	
26101	532	7163	271001538	
26103	1596	26756	1088119437	
26105	710	10581	387904708	
26107	664	13927	529515275	
26109	468	7183	247936465	
26111	2742	37094	2119976108	
26113	345	3309	106561553	
26115	2160	41019	1909462896	
26117	990	15679	606569067	
26119	209	1969	66238170	
26121	2855	62086	2536582771	
26123	778	12102	453986701	
26125	39147	721461	42799624764	
26127	552	6905	241334117	
26129	510	5781	180144851	
26131	177	1242	38148310	
26133	431	6569	282934186	
26135	190	1632	47611485	
26137	713	10240	389094002	
26139	5610	122467	5541381472	
26141	351	2976	108402909	
26143	521	5460	162298558	
26145	3948	84417	3607532459	
26147	2842	44697	1915574066	
26149	3959	24063	926006075	
26151	849	10927	377625452	
26153	234	2629	98132673	
26155	1098	16452	592539459	
26157	830	11247	426913326	
26159	1333	21930	896452493	
26161	8089	206162	11564569647	
26163	30513	711606	42062991197	
26165	785	13286	496898148	
26999	27068	109156	7430135837	
