area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
28001	866	10448	344795380	
28003	804	13968	473238534	
28005	200	1772	56631508	
28007	376	4567	141505063	
28009	91	972	32202981	
28011	844	11864	414797957	
28013	303	3239	93599209	
28015	144	1122	32618589	
28017	356	5348	163964687	
28019	155	2146	90483448	
28021	131	3407	173247930	
28023	232	2922	90300772	
28025	388	5328	178254849	
28027	646	8074	274340421	
28029	467	7186	249925336	
28031	360	5282	168539823	
28033	2926	58411	1935761705	
28035	1897	38915	1539695227	
28037	139	1617	60113067	
28039	363	4831	149739297	
28041	146	1919	58739199	
28043	552	10605	352650813	
28045	857	13049	615569428	
28047	4511	84768	3131691421	
28049	5840	121018	5394532085	
28051	300	3602	108769167	
28053	191	2211	61013667	
28055	32	193	4810256	
28057	349	6281	212800122	
28059	2418	49507	2418360177	
28061	233	3814	139374287	
28063	81	1203	36144756	
28065	170	1645	53190903	
28067	1362	27202	1018739124	
28069	145	2803	161220881	
28071	1246	22872	926291272	
28073	1411	18921	555936737	
28075	1958	33590	1162932933	
28077	187	2469	104544761	
28079	309	4865	145313585	
28081	2477	53842	2029441941	
28083	830	14281	467983932	
28085	814	11848	418343504	
28087	1585	25191	992311547	
28089	3310	54853	2347257216	
28091	575	8024	276068265	
28093	438	6339	230824133	
28095	656	9804	367624654	
28097	234	2574	76130009	
28099	550	12357	429677337	
28101	346	5696	175446487	
28103	219	2553	76367482	
28105	942	20262	726021357	
28107	649	10612	368787475	
28109	836	10261	330627124	
28111	166	2070	83864743	
28113	1016	14778	460912543	
28115	513	12639	410691892	
28117	488	7215	223452860	
28119	146	1089	33736185	
28121	3905	61992	2420686431	
28123	515	13737	443081308	
28125	167	1184	33598908	
28127	444	6867	198271840	
28129	194	2747	103334627	
28131	294	4137	134470037	
28133	552	8471	267120282	
28135	223	3038	96354954	
28137	363	5522	175429237	
28139	369	6535	207300546	
28141	411	6146	193236440	
28143	290	8621	271121447	
28145	527	10592	420785934	
28147	225	2402	69024435	
28149	1135	20212	840130838	
28151	1282	17366	583963627	
28153	421	4872	164176138	
28155	178	1912	58684484	
28157	160	1675	49333617	
28159	348	4642	159158527	
28161	200	2832	93024379	
28163	474	6225	239706788	
28999	9729	32886	1832926091	
