area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
16001	14927	226196	10408917456	
16003	196	1088	39155115	
16005	2265	33130	1147443296	
16007	233	1590	44003819	
16009	351	3435	131939329	
16011	1092	15063	506327864	
16013	1580	12456	497955827	
16015	195	1516	41202466	
16017	1606	13477	455554813	
16019	3764	48941	1720772069	
16021	472	3471	118901033	
16023	146	7637	670082820	
16025	67	379	19272862	
16027	4624	61123	2124748362	
16029	285	3209	170879099	
16031	882	10996	377676276	
16033	51	423	17190829	
16035	315	2761	99475593	
16037	249	1450	45293859	
16039	610	6706	217499867	
16041	396	3482	99361691	
16043	383	2845	94457426	
16045	458	3649	111204958	
16047	538	6094	206862550	
16049	564	4214	146214607	
16051	642	6307	193081778	
16053	682	9934	351727529	
16055	5016	58057	2125817490	
16057	1054	13622	468673335	
16059	389	2373	75841163	
16061	206	1597	49149125	
16063	156	1495	49869846	
16065	979	14741	431569878	
16067	572	7708	275715774	
16069	1222	21353	852729550	
16071	131	1165	29769935	
16073	293	3090	98809318	
16075	591	6151	209663124	
16077	233	3252	130821539	
16079	413	4582	187823672	
16081	493	3050	100380410	
16083	2854	37425	1247982784	
16085	613	4313	151543665	
16087	290	2764	82858848	
16999	5784	9608	640606869	
