area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
20001	383	5476	178820880	
20003	227	2065	65625035	
20005	414	5537	200610402	
20007	232	1644	53187703	
20009	993	12089	422303449	
20011	363	6320	207734999	
20013	336	4876	169006675	
20015	1430	18714	674189851	
20017	83	844	26239718	
20019	104	762	21260611	
20021	458	5938	217261351	
20023	128	904	27120148	
20025	88	753	29182706	
20027	274	3013	90098763	
20029	312	3313	97813698	
20031	290	3910	236694113	
20033	99	669	17940573	
20035	819	14147	516348122	
20037	989	16969	561545426	
20039	141	946	24662621	
20041	535	6268	199797201	
20043	208	2373	81916573	
20045	3004	49208	1828523306	
20047	143	1074	42069237	
20049	98	587	13162994	
20051	1140	15047	544784561	
20053	198	2299	77796351	
20055	1118	18895	709652046	
20057	851	17667	665667931	
20059	644	9534	349091514	
20061	720	13667	520085609	
20063	153	1225	37100995	
20065	127	876	28461316	
20067	261	3231	142343887	
20069	418	3100	111474082	
20071	72	687	22468702	
20073	222	1691	50577878	
20075	94	1330	45867768	
20077	242	2335	81990045	
20079	800	14178	511806574	
20081	166	1857	73202313	
20083	77	559	17467737	
20085	327	4185	131499426	
20087	387	3678	132144303	
20089	104	743	20780706	
20091	23245	337859	18252107955	
20093	132	1293	46747789	
20095	253	2391	84835584	
20097	117	1252	41761415	
20099	512	9295	315957530	
20101	87	651	23458319	
20103	1433	20855	913385782	
20105	120	939	28596823	
20107	261	2141	92091983	
20109	137	1250	38441202	
20111	869	15186	498179089	
20113	940	14373	604281690	
20115	330	3504	103359152	
20117	397	4494	154873478	
20119	156	1680	64710642	
20121	803	8353	305201110	
20123	286	3242	107276953	
20125	1957	14978	495035551	
20127	158	1481	42811453	
20129	112	965	32069433	
20131	419	5479	200628796	
20133	490	6020	204594659	
20135	164	1115	38911458	
20137	199	2444	85732887	
20139	315	2824	74774617	
20141	178	1437	42732012	
20143	177	1347	38566726	
20145	228	2999	103845294	
20147	255	2461	84333785	
20149	629	9387	368110499	
20151	378	4515	161065169	
20153	125	929	30221389	
20155	1703	26418	935017341	
20157	227	2001	55390833	
20159	336	3831	128918886	
20161	1708	28749	1102539507	
20163	212	1853	61214005	
20165	116	1113	34437005	
20167	317	2613	85657506	
20169	1559	30149	1129888410	
20171	256	2225	80043691	
20173	12683	248772	11367242466	
20175	610	11098	389593822	
20177	5201	97321	4208373602	
20179	131	957	35585044	
20181	263	2437	79930918	
20183	165	1268	35977919	
20185	172	1274	37881755	
20187	98	808	29145607	
20189	202	1919	66524156	
20191	552	7086	238080504	
20193	400	4020	139090581	
20195	140	1294	39508294	
20197	174	1339	38996489	
20199	95	533	16463206	
20201	288	2045	55302642	
20203	114	765	27273521	
20205	267	3690	127569541	
20207	108	689	17446761	
20209	3571	90545	4622332375	
20999	2279	21537	1361935649	
