area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
12001	7010	126846	5613847643	
12003	421	7477	240134207	
12005	5501	77408	3001074131	
12007	527	6437	229745997	
12009	15201	201065	9405461378	
12011	67449	782923	38792002591	
12013	236	2847	82727286	
12015	4515	46317	1683906647	
12017	3054	32319	1146512416	
12019	4307	49987	1836622214	
12021	13380	140728	6392912418	
12023	1492	24561	876373362	
12027	629	8585	297200890	
12029	219	2582	86146844	
12031	28427	486433	24598292896	
12033	8057	130114	5417501984	
12035	2345	22587	749416150	
12037	376	3322	100369586	
12039	806	12760	430627952	
12041	317	3389	112730016	
12043	164	1517	59997709	
12045	387	3801	130529308	
12047	211	3268	124869519	
12049	557	7106	236511937	
12051	859	11869	440368773	
12053	3466	41159	1412993836	
12055	2249	27365	898671695	
12057	40554	665072	34049799402	
12059	346	3272	95891194	
12061	4931	50098	2049134829	
12063	906	14328	485890974	
12065	305	2481	82559503	
12067	126	1376	42736675	
12069	7832	92903	3344554267	
12071	21096	250630	10497456392	
12073	8502	146254	6272442260	
12075	925	8700	268946123	
12077	120	1885	65046304	
12079	361	4226	134281875	
12081	10325	118423	4845093264	
12083	8089	99953	3707405151	
12085	6180	65338	2656829951	
12086	95493	1107359	56761703459	
12087	4427	41632	1628652866	
12089	2047	21070	818977700	
12091	6242	81574	3539363780	
12093	935	11110	384862036	
12095	40251	793424	37283357555	
12097	6494	88208	3195992432	
12099	54247	584989	30322032857	
12101	10528	112821	4197350830	
12103	32040	417990	19619730657	
12105	12804	209550	8433358948	
12107	1410	16388	594048850	
12109	6766	69749	2855338468	
12111	6158	72724	2815424964	
12113	3301	36084	1312629089	
12115	15405	163533	7132369062	
12117	14505	183001	8159736842	
12119	1726	27111	1030458902	
12121	801	11433	369968976	
12123	433	6679	253885311	
12125	184	3636	128612582	
12127	13851	167484	6339067235	
12129	499	5496	186829167	
12131	2454	24767	881252316	
12133	429	5755	193253708	
12999	41912	256077	19399768315	
