area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
18001	695	13311	471003476	
18003	8697	183107	7905577889	
18005	1903	50418	2541729661	
18007	224	2284	81791751	
18009	234	3234	107604192	
18011	1673	27720	1109909619	
18013	318	3063	80401118	
18015	377	4978	176161399	
18017	714	14548	512711824	
18019	2503	54374	2100663803	
18021	491	7765	251995733	
18023	580	10956	414931056	
18025	165	1990	58876444	
18027	882	11428	391870952	
18029	961	14105	509255838	
18031	645	13704	593872092	
18033	968	21519	937897123	
18035	2189	45452	1694732592	
18037	1276	29002	1161779181	
18039	4655	127535	5841181716	
18041	440	6494	221134140	
18043	1779	29406	1210873413	
18045	328	4457	149702311	
18047	364	4502	139952742	
18049	471	6174	223980789	
18051	752	20350	1025730655	
18053	1232	27161	1038313480	
18055	581	6296	200187768	
18057	9058	136859	6995437722	
18059	1500	22825	944682864	
18061	664	10213	355976807	
18063	3138	66293	2356355889	
18065	807	13279	442858008	
18067	1665	39846	1841542480	
18069	871	14179	504788773	
18071	965	20983	900520794	
18073	799	12068	463567386	
18075	393	7385	251658374	
18077	658	12409	474881664	
18079	386	7177	260382297	
18081	3192	51119	1869972335	
18083	941	17513	664068196	
18085	1908	37654	1781168264	
18087	851	13364	535726249	
18089	10244	186812	8442107094	
18091	2308	40381	1540008415	
18093	820	13096	478751245	
18095	2176	39183	1431549363	
18097	23596	591186	31806984452	
18099	1027	19541	710695792	
18101	225	7059	473346092	
18103	589	9479	337967157	
18105	2962	61980	2602753940	
18107	840	15313	633889875	
18109	1218	16120	607028691	
18111	262	3394	122836515	
18113	846	18097	681773381	
18115	89	1427	36898320	
18117	377	7685	249331006	
18119	291	4470	181507159	
18121	304	3252	99161222	
18123	370	6584	255471617	
18125	200	2969	138348286	
18127	3636	59269	2518196994	
18129	503	8333	445681589	
18131	339	4534	177114783	
18133	685	13277	471369231	
18135	492	7367	264652226	
18137	712	12246	524107365	
18139	394	4905	182198851	
18141	5697	122570	5228058018	
18143	399	8069	274571360	
18145	926	18158	754366638	
18147	453	6829	249835166	
18149	321	4728	133735518	
18151	960	15637	525545466	
18153	370	5720	213990698	
18155	134	2084	66984067	
18157	3383	82899	3740176256	
18159	307	4367	173876112	
18161	131	1299	40737601	
18163	4721	106993	4568272452	
18165	310	4388	192541736	
18167	2401	48656	1877068972	
18169	742	12485	429610657	
18171	141	1831	69370229	
18173	1123	15733	696423116	
18175	467	5922	196665102	
18177	1434	29943	1098352536	
18179	610	10821	388650543	
18181	654	9204	334888954	
18183	702	12293	479520768	
18999	16448	70007	4248649346	
