area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
38001	124	990	37624419	
38003	445	4673	178456011	
38005	140	1980	72878991	
38007	54	470	17190998	
38009	324	2515	103564552	
38011	196	1644	68891739	
38013	128	705	34626485	
38015	3715	57973	2827538169	
38017	7053	116890	5604740240	
38019	187	1455	58853331	
38021	271	1910	66915716	
38023	152	879	42640481	
38025	245	2005	130029483	
38027	99	720	23652252	
38029	160	969	33132772	
38031	170	1641	69722632	
38033	97	671	24485826	
38035	2229	40857	1802794621	
38037	88	562	19009478	
38039	113	894	30749897	
38041	128	746	30435150	
38043	102	681	24256498	
38045	225	1425	53623486	
38047	100	638	19648929	
38049	187	1318	55568107	
38051	147	1071	36412271	
38053	785	8628	596240449	
38055	376	3541	188529476	
38057	332	5387	371688143	
38059	1008	11124	500187182	
38061	613	5699	359029674	
38063	172	1023	33783902	
38065	60	889	63757976	
38067	409	3648	158878368	
38069	191	1747	67571738	
38071	526	6110	261360592	
38073	248	2086	74053008	
38075	142	719	29176706	
38077	634	7874	317235153	
38079	267	4518	168701141	
38081	167	2893	120641175	
38083	50	237	6292215	
38085	62	1611	67225084	
38087	29	147	8005649	
38089	1497	18575	1040478010	
38091	81	611	27805786	
38093	874	11448	472658899	
38095	105	823	27673160	
38097	366	3354	138873845	
38099	532	5073	191643682	
38101	2510	32276	1500821920	
38103	222	1560	51451676	
38105	2212	26170	1831823415	
38999	740	3065	243008850	
