area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
29001	696	9748	306157785	
29003	314	2381	74836564	
29005	234	1633	49159154	
29007	643	9399	319195863	
29009	855	14084	521388879	
29011	320	3230	95535157	
29013	439	3644	110472604	
29015	510	3588	101000359	
29017	296	1816	49212359	
29019	4851	92461	3888552536	
29021	2528	47456	1976961263	
29023	1534	19021	622465684	
29025	212	1721	51820114	
29027	837	14323	575587508	
29029	1638	16517	495013543	
29031	2625	40483	1560949960	
29033	317	2367	73647684	
29035	220	1457	37292545	
29037	2082	25608	858884482	
29039	353	3158	83345950	
29041	282	1864	56101953	
29043	1845	16770	514860370	
29045	169	1408	36652440	
29047	5522	102606	4794571004	
29049	458	4010	130515933	
29051	2362	52844	2132381659	
29053	463	4957	152118427	
29055	669	6615	242086886	
29057	176	1695	48386946	
29059	295	2432	62603537	
29061	205	1497	40878785	
29063	258	3618	129773685	
29065	547	3819	111027128	
29067	206	2356	62469427	
29069	1563	9655	250871759	
29071	2897	39100	1476630384	
29073	475	5282	152601306	
29075	233	2204	70162294	
29077	8516	162887	6605535214	
29079	308	3438	112821373	
29081	297	2603	72252949	
29083	672	7421	262310645	
29085	174	1237	30512281	
29087	186	1265	41822098	
29089	247	2664	78454270	
29091	1227	14879	473496256	
29093	471	3686	141633800	
29095	20976	363137	19401506645	
29097	3351	60108	2353845019	
29099	4174	47785	1692764707	
29101	1107	15601	536945595	
29103	119	1098	28003922	
29105	839	13299	429302205	
29107	862	8616	271273171	
29109	861	8936	305391725	
29111	228	2624	79032375	
29113	985	11562	429476476	
29115	386	3920	128946101	
29117	488	6208	200410030	
29119	403	6973	231872854	
29121	424	5064	163264746	
29123	382	3645	101771972	
29125	157	1222	35145511	
29127	933	13422	467371470	
29129	104	1755	59617980	
29131	603	6827	208789857	
29133	525	3948	117956772	
29135	359	4089	127031308	
29137	253	2009	59602625	
29139	330	2882	91567481	
29141	520	4212	114201976	
29143	674	6704	230210637	
29145	1239	16952	574454832	
29147	557	7656	252169328	
29149	258	2330	56619466	
29151	288	3568	120640575	
29153	219	1556	36582747	
29155	763	5888	178533016	
29157	560	9657	341411384	
29159	1189	19264	642793104	
29161	1180	17990	674038669	
29163	481	5965	191311886	
29165	2640	44415	1979656066	
29167	666	8233	272035865	
29169	834	12955	468905630	
29171	129	976	26930469	
29173	223	3508	149861516	
29175	668	9663	332395317	
29177	423	4293	142173858	
29179	320	1670	41131491	
29181	500	2876	67178359	
29183	9038	143850	6250018963	
29185	203	1650	42842978	
29186	476	5412	221147956	
29187	1813	22930	693520871	
29189	36332	598815	33508607945	
29195	624	8638	281197107	
29197	96	606	15320805	
29199	151	1181	34169218	
29201	1413	15209	530318598	
29203	229	1439	33602837	
29205	208	1725	46214056	
29207	1022	10184	340014124	
29209	737	5611	168946386	
29211	165	2372	91940939	
29213	1913	29167	855171941	
29215	608	5649	163013142	
29217	633	6873	238806900	
29219	634	7117	255201176	
29221	821	4994	138957509	
29223	491	2759	68269546	
29225	706	6734	208605679	
29227	67	373	9510246	
29229	488	4139	118505742	
29510	13258	225643	12904123462	
29999	16638	80445	5322198642	
