area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
04001	583	17671	726464926	
04003	2218	33906	1469167000	
04005	3305	61087	2498210067	
04007	962	14624	561598196	
04009	526	8894	340758776	
04011	104	4370	276853149	
04012	358	5675	193339907	
04013	93915	1871953	95629198640	
04015	3642	47595	1715449940	
04017	1641	27592	1030563893	
04019	18521	358682	15762468266	
04021	3214	61111	2429326785	
04023	1169	13240	583362240	
04025	5541	61519	2293037791	
04027	3156	66432	2379464040	
04999	13356	25715	2156315339	
