area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
34001	6455	124840	5522248747	
34003	32339	444086	28151198775	
34005	10772	200809	10909801214	
34007	11791	201214	10382352250	
34009	3858	40684	1504960798	
34011	3067	59099	2630663081	
34013	20028	336420	22292919728	
34015	6200	105074	4783454216	
34017	14501	252557	18135640501	
34019	4022	46686	2900540250	
34021	10920	245383	17010949484	
34023	21635	413524	26282738280	
34025	19735	256634	13440873432	
34027	16694	285590	22755010699	
34029	12744	162187	6940741905	
34031	12176	165631	8590920820	
34033	1240	20660	1144990340	
34035	9913	184061	15640154613	
34037	3440	38696	1722096801	
34039	14010	217047	14706524363	
34041	2748	33319	1613857617	
34999	24513	119771	11155121799	
