area_fips	annual_avg_estabs	annual_avg_emplvl	total_annual_wages
13001	452	7083	300613986	
13003	124	2004	66690521	
13005	269	4010	133595764	
13007	59	435	15183879	
13009	901	15356	504289931	
13011	292	4053	125775126	
13013	1211	17702	661703820	
13015	2257	35317	1494645412	
13017	368	5616	171380484	
13019	284	3551	116496518	
13021	4523	81413	3339659096	
13023	204	2629	78399664	
13025	237	2249	66524295	
13027	296	3076	99245124	
13029	723	7781	262682401	
13031	1573	25179	845063303	
13033	392	10259	711010736	
13035	424	6089	208634429	
13037	120	1057	31622163	
13039	943	13760	562817432	
13043	252	2881	80289441	
13045	2257	39036	1612248659	
13047	1003	14092	464101008	
13049	172	2152	71109103	
13051	8654	149090	6613717155	
13053	130	2234	98420732	
13055	345	6200	199898818	
13057	5939	55973	2210717077	
13059	3329	68723	3047826387	
13061	68	542	15858792	
13063	4442	120544	6465630178	
13065	179	2391	83835010	
13067	23746	345651	19512810420	
13069	961	16713	541866436	
13071	1070	14674	464578019	
13073	2545	32173	1205876264	
13075	387	4118	117611455	
13077	2640	37140	1457133569	
13079	144	1379	42025870	
13081	609	8007	268012235	
13083	258	3302	109082410	
13085	687	8315	238074417	
13087	692	8384	273461003	
13089	19615	294582	16134060801	
13091	367	5025	153182672	
13093	220	3654	121582552	
13095	2538	47030	1884939914	
13097	2846	41519	1498449709	
13099	297	4285	174778815	
13101	54	778	25953347	
13103	786	9534	382526257	
13105	512	5713	188910966	
13107	464	6683	205376481	
13109	267	4455	138872592	
13111	649	6321	189553213	
13113	3803	42350	1744921924	
13115	2118	38726	1581829632	
13117	6287	71247	3466735788	
13119	481	7813	275488690	
13121	46755	823703	59635343301	
13123	617	7030	211339991	
13125	40	425	10607820	
13127	2885	37606	1530247612	
13129	1074	20047	762635970	
13131	496	5548	188233797	
13133	494	5777	205501460	
13135	26824	342828	17597765052	
13137	918	14565	505078057	
13139	4662	82224	3644556933	
13141	85	1537	53019137	
13143	505	6400	258623964	
13145	498	4599	131450269	
13147	447	6381	223484528	
13149	161	2102	97984884	
13151	4087	56802	2053002598	
13153	2865	58776	2604771043	
13155	154	1882	57853500	
13157	1460	24698	928287818	
13159	189	2045	62814195	
13161	270	4352	140452591	
13163	379	4769	168897160	
13165	137	1377	40003260	
13167	144	1574	49672761	
13169	383	4628	155542697	
13171	274	3701	124722161	
13173	130	1598	44308051	
13175	1120	18015	683101796	
13177	491	6387	207794100	
13179	949	18039	706186391	
13181	160	1359	40451647	
13183	72	925	28322045	
13185	2949	49061	1662049704	
13187	569	7281	241497357	
13189	451	6801	223151010	
13191	218	1696	49122372	
13193	232	2763	104780768	
13195	404	3340	97957652	
13197	106	1125	34251859	
13199	379	4680	163351032	
13201	184	1686	54633012	
13205	469	7137	220879307	
13207	547	7588	287794771	
13209	150	1576	52441927	
13211	551	6720	224910497	
13213	464	10074	358930737	
13215	4936	93050	3959148044	
13217	1674	23510	951136463	
13219	1110	10705	398781885	
13221	226	1647	51976405	
13223	2132	22760	796897607	
13225	542	9090	355499395	
13227	777	7535	327140388	
13229	380	4079	137597133	
13231	278	2878	93296598	
13233	680	10874	394861146	
13235	222	2824	99985923	
13237	499	5513	173444917	
13239	43	375	10631986	
13241	512	4868	145547218	
13243	184	1849	55737083	
13245	4763	104303	4603599144	
13247	2144	32051	1397987280	
13249	67	958	32756888	
13251	275	3386	110341595	
13253	230	2304	76835131	
13255	1341	22302	756678145	
13257	604	9216	339727105	
13259	94	1156	45180500	
13261	730	10793	379890465	
13263	96	751	24699581	
13265	32	189	4852400	
13267	373	5768	194844444	
13269	164	2292	80374155	
13271	232	3467	96534786	
13273	217	2353	75685610	
13275	1496	21093	849653220	
13277	1190	19054	692547649	
13279	762	11601	388800286	
13281	332	3577	100521031	
13283	109	1133	30990512	
13285	1609	39276	1618627309	
13287	193	2177	64552273	
13289	101	2125	57937131	
13291	629	7091	230598092	
13293	490	6516	224034441	
13295	788	12976	415652640	
13297	1843	21842	881040310	
13299	978	15425	530923482	
13301	94	1509	57638133	
13303	410	6644	234089225	
13305	604	7801	298909871	
13307	43	464	17858590	
13309	87	1173	36866118	
13311	710	7559	242872674	
13313	2409	56662	2417303270	
13315	112	1119	31107029	
13317	261	3033	96314980	
13319	171	3235	148547075	
13321	337	3097	105288060	
13999	32319	138645	9997628482	
